Volume_pre,Volume_post,diff,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
6.388569548,5.967765566,-0.065868263,10.67664839,26.0,1.0,0.0,26.0,0.0,1.0
0.229529445,0.0,-1.0,8.077747211,50.0,1.0,0.0,26.0,0.0,1.0
0.30603926,0.0,-1.0,11.87565788,44.0,1.0,0.0,26.0,0.0,1.0
0.344294167,0.0,-1.0,16.57940117,60.0,1.0,0.0,26.0,0.0,1.0
0.535568705,0.0,-1.0,6.071428571,38.0,1.0,0.0,26.0,0.0,1.0
0.726843242,0.420803982,-0.421052632,4.432628954,24.0,1.0,0.0,26.0,0.0,1.0
1.338921762,2.754353338,1.057142857,11.98665925,19.0,1.0,0.0,26.0,0.0,1.0
1.415431577,1.224157039,-0.135135135,7.167871258,46.0,1.0,0.0,26.0,0.0,1.0
5.967765566,7.306687328,0.224358974,0.99380799,26.0,1.0,1.0,26.0,1.0,1.0
0.420803982,0.30603926,-0.272727273,6.08276253,24.0,1.0,1.0,26.0,1.0,1.0
0.994627594,0.0,-1.0,12.01601495,49.0,1.0,1.0,26.0,1.0,1.0
1.224157039,0.688588335,-0.4375,6.883517451,46.0,1.0,1.0,26.0,1.0,1.0
2.333549356,2.410059171,0.032786885,9.780443826,29.0,1.0,1.0,26.0,1.0,1.0
2.754353338,1.109392317,-0.597222222,8.738943908,19.0,1.0,1.0,26.0,1.0,1.0
7.306687328,4.667098712,-0.361256545,1.463087489,26.0,1.0,2.0,26.0,1.0,1.0
0.30603926,0.0,-1.0,5.220153254,24.0,1.0,2.0,26.0,1.0,1.0
0.420803982,0.30603926,-0.272727273,16.57090949,60.0,1.0,2.0,26.0,1.0,1.0
0.688588335,1.453686484,1.111111111,9.93575039,46.0,1.0,2.0,26.0,1.0,1.0
1.109392317,0.535568705,-0.517241379,5.830951895,19.0,1.0,2.0,26.0,1.0,1.0
2.410059171,1.836235559,-0.238095238,7.190200247,29.0,1.0,2.0,26.0,1.0,1.0
3.022137691,2.677843523,-0.113924051,13.55033469,12.0,1.0,2.0,26.0,1.0,1.0
4.667098712,4.896628157,0.049180328,8.047715302,26.0,1.0,3.0,26.0,0.0,0.0
0.30603926,0.0,-1.0,23.16246964,60.0,1.0,3.0,26.0,0.0,0.0
0.535568705,2.716098431,4.071428571,4.74341649,19.0,1.0,3.0,26.0,0.0,0.0
1.453686484,0.688588335,-0.526315789,12.49138207,46.0,1.0,3.0,26.0,0.0,0.0
1.836235559,2.027510096,0.104166667,8.319648628,29.0,1.0,3.0,26.0,0.0,0.0
2.677843523,3.748980933,0.4,25.17640165,12.0,1.0,3.0,26.0,0.0,0.0
3.289922043,2.945627876,-0.104651163,16.32522146,27.0,1.0,3.0,26.0,0.0,0.0
4.896628157,4.70535362,-0.0390625,2.867441756,26.0,1.0,4.0,26.0,0.0,0.0
0.382549075,1.338921762,2.5,26.18415551,77.0,1.0,4.0,26.0,0.0,0.0
0.688588335,0.45905889,-0.333333333,8.952032668,46.0,1.0,4.0,26.0,0.0,0.0
2.027510096,1.797980651,-0.113207547,8.33854004,29.0,1.0,4.0,26.0,0.0,0.0
2.716098431,0.573823612,-0.788732394,4.911960472,19.0,1.0,4.0,26.0,0.0,0.0
4.70535362,3.213412228,-0.317073171,12.12987696,26.0,1.0,5.0,26.0,1.0,1.0
0.45905889,0.0,-1.0,6.254998002,46.0,1.0,5.0,26.0,1.0,1.0
0.573823612,3.251667135,4.666666667,11.62564216,19.0,1.0,5.0,26.0,1.0,1.0
0.76509815,0.0,-1.0,1.503329638,24.0,1.0,5.0,26.0,1.0,1.0
1.338921762,1.224157039,-0.085714286,21.53698764,77.0,1.0,5.0,26.0,1.0,1.0
1.797980651,1.338921762,-0.255319149,11.37074308,29.0,1.0,5.0,26.0,1.0,1.0
3.213412228,4.667098712,0.452380952,1.007782219,26.0,1.0,6.0,26.0,1.0,1.0
1.338921762,0.841607964,-0.371428571,8.64015306,29.0,1.0,6.0,26.0,1.0,1.0
3.251667135,2.563078801,-0.211764706,5.863120455,19.0,1.0,6.0,26.0,1.0,1.0
4.667098712,6.847628438,0.467213115,1.118033989,26.0,1.0,7.0,26.0,1.0,1.0
0.30603926,2.869118061,8.375,3.245188746,46.0,1.0,7.0,26.0,1.0,1.0
0.841607964,1.568451207,0.863636364,4.859126579,29.0,1.0,7.0,26.0,1.0,1.0
2.563078801,2.448314078,-0.044776119,2.06911817,19.0,1.0,7.0,26.0,1.0,1.0
6.847628438,3.748980933,-0.452513966,2.262375565,26.0,1.0,8.0,26.0,1.0,1.0
1.262411947,0.650333427,-0.484848485,19.21149741,77.0,1.0,8.0,26.0,1.0,1.0
1.568451207,1.606706114,0.024390244,7.327634654,29.0,1.0,8.0,26.0,1.0,1.0
1.721470836,1.912745374,0.111111111,12.79911262,35.0,1.0,8.0,26.0,1.0,1.0
2.448314078,3.48119658,0.421875,9.237007852,19.0,1.0,8.0,26.0,1.0,1.0
2.869118061,3.902000563,0.36,16.04050429,46.0,1.0,8.0,26.0,1.0,1.0
3.17515732,0.0,-1.0,11.58209885,23.0,1.0,8.0,26.0,1.0,1.0
3.748980933,7.153667698,0.908163265,1.58113883,26.0,1.0,9.0,26.0,1.0,1.0
0.650333427,1.032882502,0.588235294,10.94813188,77.0,1.0,9.0,26.0,1.0,1.0
1.606706114,0.956372687,-0.404761905,9.362018601,29.0,1.0,9.0,26.0,1.0,1.0
3.48119658,1.721470836,-0.505494505,5.28152736,19.0,1.0,9.0,26.0,1.0,1.0
3.902000563,4.284549637,0.098039216,7.017834424,46.0,1.0,9.0,26.0,1.0,1.0
7.153667698,6.809373531,-0.048128342,1.118033989,26.0,1.0,10.0,26.0,0.0,0.0
0.956372687,1.262411947,0.32,8.497058314,29.0,1.0,10.0,26.0,0.0,0.0
1.032882502,1.262411947,0.222222222,13.43502884,77.0,1.0,10.0,26.0,0.0,0.0
1.721470836,2.448314078,0.422222222,3.041381265,19.0,1.0,10.0,26.0,0.0,0.0
1.759725744,1.721470836,-0.02173913,16.20463713,35.0,1.0,10.0,26.0,0.0,0.0
1.989255189,2.907372968,0.461538462,8.63109186,23.0,1.0,10.0,26.0,0.0,0.0
4.284549637,1.797980651,-0.580357143,6.293690297,46.0,1.0,10.0,26.0,0.0,0.0
6.809373531,8.1865502,0.202247191,10.7528222,26.0,1.0,11.0,26.0,1.0,0.0
1.224157039,2.104019911,0.71875,8.321658489,16.0,1.0,11.0,26.0,1.0,0.0
1.262411947,0.30603926,-0.757575758,9.411371899,29.0,1.0,11.0,26.0,1.0,0.0
1.683215929,1.989255189,0.181818182,17.55704987,12.0,1.0,11.0,26.0,1.0,0.0
1.721470836,1.951000281,0.133333333,13.17357999,35.0,1.0,11.0,26.0,1.0,0.0
1.797980651,2.448314078,0.361702128,2.534758371,46.0,1.0,11.0,26.0,1.0,0.0
2.448314078,3.442941673,0.40625,6.020797289,19.0,1.0,11.0,26.0,1.0,0.0
2.907372968,2.945627876,0.013157895,8.922149055,23.0,1.0,11.0,26.0,1.0,0.0
8.1865502,4.284549637,-0.476635514,1.19670329,26.0,1.0,12.0,26.0,1.0,1.0
0.30603926,3.902000563,11.75,8.746427842,29.0,1.0,12.0,26.0,1.0,1.0
0.918117779,1.224157039,0.333333333,8.577892918,77.0,1.0,12.0,26.0,1.0,1.0
2.104019911,1.874490466,-0.109090909,12.58098764,16.0,1.0,12.0,26.0,1.0,1.0
2.448314078,1.224157039,-0.5,6.951441197,46.0,1.0,12.0,26.0,1.0,1.0
2.945627876,2.907372968,-0.012987013,10.84838552,23.0,1.0,12.0,26.0,1.0,1.0
2.945627876,0.0,-1.0,7.715291377,49.0,1.0,12.0,26.0,1.0,1.0
3.442941673,2.333549356,-0.322222222,4.875866946,19.0,1.0,12.0,26.0,1.0,1.0
4.284549637,5.011392879,0.169642857,0.99380799,26.0,1.0,13.0,26.0,1.0,0.0
1.874490466,0.994627594,-0.469387755,12.52123197,16.0,1.0,13.0,26.0,1.0,0.0
2.333549356,4.858373249,1.081967213,9.192388155,19.0,1.0,13.0,26.0,1.0,0.0
2.907372968,3.595961303,0.236842105,12.40892026,23.0,1.0,13.0,26.0,1.0,0.0
3.902000563,1.874490466,-0.519607843,3.813890982,29.0,1.0,13.0,26.0,1.0,0.0
5.011392879,7.115412791,0.419847328,1.550089603,26.0,1.0,14.0,26.0,1.0,1.0
0.688588335,0.0,-1.0,6.111111111,38.0,1.0,14.0,26.0,1.0,1.0
0.803353057,4.437569267,4.523809524,10.53059467,46.0,1.0,14.0,26.0,1.0,1.0
1.874490466,0.688588335,-0.632653061,6.92657259,29.0,1.0,14.0,26.0,1.0,1.0
3.213412228,0.61207852,-0.80952381,9.037745239,49.0,1.0,14.0,26.0,1.0,1.0
3.595961303,3.136902413,-0.127659574,8.35888643,23.0,1.0,14.0,26.0,1.0,1.0
4.858373249,4.322804545,-0.11023622,4.623610903,19.0,1.0,14.0,26.0,1.0,1.0
7.115412791,10.06104067,0.413978495,2.020305089,26.0,1.0,15.0,26.0,1.0,1.0
0.61207852,0.688588335,0.125,8.526154614,49.0,1.0,15.0,26.0,1.0,1.0
0.688588335,1.147647224,0.666666667,4.126472801,29.0,1.0,15.0,26.0,1.0,1.0
3.136902413,3.672471118,0.170731707,10.77287006,23.0,1.0,15.0,26.0,1.0,1.0
4.322804545,1.377176669,-0.681415929,7.435136179,19.0,1.0,15.0,26.0,1.0,1.0
4.437569267,0.30603926,-0.931034483,9.370056567,46.0,1.0,15.0,26.0,1.0,1.0
10.06104067,1.836235559,-0.817490494,3.231596091,26.0,1.0,16.0,26.0,1.0,1.0
0.30603926,8.951648349,28.25,9.369164851,46.0,1.0,16.0,26.0,1.0,1.0
0.688588335,0.61207852,-0.111111111,10.98329259,49.0,1.0,16.0,26.0,1.0,1.0
0.918117779,0.918117779,0.0,5.773803387,57.0,1.0,16.0,26.0,1.0,1.0
1.147647224,1.109392317,-0.033333333,11.86526209,29.0,1.0,16.0,26.0,1.0,1.0
1.377176669,1.147647224,-0.166666667,11.2395356,19.0,1.0,16.0,26.0,1.0,1.0
1.377176669,2.371804264,0.722222222,17.20954292,12.0,1.0,16.0,26.0,1.0,1.0
1.797980651,1.644961021,-0.085106383,17.10216154,35.0,1.0,16.0,26.0,1.0,1.0
2.907372968,1.415431577,-0.513157895,12.00309877,66.0,1.0,16.0,26.0,1.0,1.0
3.672471118,3.78723584,0.03125,8.45284741,23.0,1.0,16.0,26.0,1.0,1.0
1.836235559,6.197295011,2.375,2.653323097,26.0,1.0,17.0,26.0,1.0,1.0
1.147647224,2.907372968,1.533333333,10.84010205,19.0,1.0,17.0,26.0,1.0,1.0
2.371804264,2.027510096,-0.14516129,13.51677799,12.0,1.0,17.0,26.0,1.0,1.0
8.951648349,0.420803982,-0.952991453,14.05979009,46.0,1.0,17.0,26.0,1.0,1.0
0.344294167,0.0,-1.0,12.55604719,69.0,1.0,18.0,26.0,1.0,1.0
0.420803982,1.032882502,1.454545455,12.03644603,46.0,1.0,18.0,26.0,1.0,1.0
0.45905889,0.0,-1.0,12.61227356,23.0,1.0,18.0,26.0,1.0,1.0
1.683215929,2.486568986,0.477272727,4.755705577,57.0,1.0,18.0,26.0,1.0,1.0
2.257039541,2.639588616,0.169491525,9.382015893,66.0,1.0,18.0,26.0,1.0,1.0
2.907372968,2.601333708,-0.105263158,9.422375679,19.0,1.0,18.0,26.0,1.0,1.0
3.63421621,2.295294449,-0.368421053,8.859543574,29.0,1.0,18.0,26.0,1.0,1.0
7.459706958,3.213412228,-0.569230769,4.627343587,26.0,1.0,19.0,26.0,1.0,1.0
1.032882502,2.218784634,1.148148148,7.640948095,46.0,1.0,19.0,26.0,1.0,1.0
