combination_threshold,area_threshold,num_neighbor,tpr,fpr,auc,accuracy,precesion,recall,f1_score
75,0.0_,3,0.9765013054830287,0.5427631578947368,-0.8455364504603544,0.7467248908296943,0.6938775510204082,0.9765013054830287,0.8112798264642082
75,0.25,3,0.8798955613577023,0.3223684210526316,-0.8455364504603544,0.7903930131004366,0.774712643678161,0.8798955613577023,0.8239608801955991
75,0.5_,3,0.7650130548302873,0.2138157894736842,-0.8455364504603544,0.7743813682678311,0.8184357541899442,0.7650130548302873,0.7908232118758435
75,0.75,3,0.6736292428198434,0.18092105263157895,-0.8455364504603544,0.7379912663755459,0.8242811501597445,0.6736292428198434,0.7413793103448276
75,1.0_,3,0.587467362924282,0.12828947368421054,-0.8455364504603544,0.7132459970887919,0.8522727272727273,0.587467362924282,0.6955177743431221
75,1.25,3,0.5039164490861618,0.10855263157894737,-0.8455364504603544,0.6754002911208151,0.8539823008849557,0.5039164490861618,0.6338259441707716
75,1.5_,3,0.4516971279373368,0.08881578947368421,-0.8455364504603544,0.6550218340611353,0.865,0.4516971279373368,0.5934819897084048
75,1.75,3,0.4046997389033943,0.07894736842105263,-0.8455364504603544,0.6331877729257642,0.8659217877094972,0.4046997389033943,0.5516014234875445
75,2.0_,3,0.3629242819843342,0.05921052631578947,-0.8455364504603544,0.61863173216885,0.8853503184713376,0.3629242819843342,0.5148148148148148
75,2.25,3,0.33159268929503916,0.046052631578947366,-0.8455364504603544,0.6069868995633187,0.900709219858156,0.33159268929503916,0.48473282442748095
75,2.5_,3,0.2741514360313316,0.046052631578947366,-0.8455364504603544,0.5749636098981077,0.8823529411764706,0.2741514360313316,0.4183266932270916
75,2.75,3,0.2584856396866841,0.039473684210526314,-0.8455364504603544,0.5691411935953421,0.8918918918918919,0.2584856396866841,0.4008097165991903
75,3.0_,3,0.22193211488250653,0.03289473684210526,-0.8455364504603544,0.5516739446870451,0.8947368421052632,0.22193211488250653,0.35564853556485354
75,3.25,3,0.18798955613577023,0.029605263157894735,-0.8455364504603544,0.5342066957787481,0.8888888888888888,0.18798955613577023,0.31034482758620685
75,3.5_,3,0.16449086161879894,0.02631578947368421,-0.8455364504603544,0.5225618631732168,0.8873239436619719,0.16449086161879894,0.2775330396475771
75,3.75,3,0.1462140992167102,0.02631578947368421,-0.8455364504603544,0.512372634643377,0.875,0.1462140992167102,0.2505592841163311
75,4.0_,3,0.1279373368146214,0.019736842105263157,-0.8455364504603544,0.50509461426492,0.8909090909090909,0.1279373368146214,0.2237442922374429
75,4.25,3,0.1122715404699739,0.019736842105263157,-0.8455364504603544,0.4963609898107715,0.8775510204081632,0.1122715404699739,0.1990740740740741
75,4.5_,3,0.09660574412532637,0.019736842105263157,-0.8455364504603544,0.487627365356623,0.8604651162790697,0.09660574412532637,0.1737089201877934
75,4.75,3,0.08093994778067885,0.01644736842105263,-0.8455364504603544,0.48034934497816595,0.8611111111111112,0.08093994778067885,0.1479713603818616
75,5.0_,3,0.07571801566579635,0.01644736842105263,-0.8455364504603544,0.4774381368267831,0.8529411764705882,0.07571801566579635,0.13908872901678657
