,control,mdivi,t score
mdivi,3.2517985611510793,3.028776978417266,0.8052431721827514
mdivi 10min,4.918032786885246,4.295081967213115,1.4867376899085902
mdivi/area,0.027285365449356076,0.023707429497577606,1.4955844431657455
mdivi 10min/area,0.035228400685886015,0.04115770196576237,-1.4468011208332838
mdivi/component,0.02491942817516844,0.017712670781822096,3.7269419898081866
mdivi 10min/component,0.02959930632067623,0.03153400844274297,-0.5064863332023966
mdivi_all,26.776978417266186,26.640287769784173,0.061806971682713416
mdivi 10min_all,35.32786885245902,38.9344262295082,-0.780224358758837
mdivi_all/area,0.20566936403771457,0.18948250418107807,1.3149927178473426
mdivi 10min_all/area,0.23934245290397413,0.31818540321117367,-2.7467494621840483
mdivi_all/component,0.17769345184874483,0.14205460168140877,4.053325753842905
mdivi 10min_all/component,0.20225518399845466,0.22127856253067987,-0.9078346300141781
