,control,mdivi,t score
mdivi,3.3309352517985613,2.949640287769784,1.4374684769948665
mdivi 10min,4.688524590163935,4.885245901639344,-0.42392541113307214
mdivi/area,0.026538045039993075,0.02022443482312457,3.758470683200189
mdivi 10min/area,0.03305946372016396,0.04204879442288501,-2.523509309812668
mdivi/component,0.024324663216599023,0.015885368980483257,5.3891687095940854
mdivi 10min/component,0.027791700563667823,0.03159648871365016,-1.225980380330018
mdivi_all,25.611510791366907,25.309352517985612,0.13529905603815745
mdivi 10min_all,32.52459016393443,37.049180327868854,-1.1464223599327716
mdivi_all/area,0.21416161394410282,0.19241123768554158,1.0975520879737344
mdivi 10min_all/area,0.23392736834802083,0.3605646716643365,-2.9634158535037747
mdivi_all/component,0.20057114403095194,0.14400076928978744,3.045046971769871
mdivi 10min_all/component,0.19783299344776523,0.26791584049361883,-1.909467867293152
