Volume_pre,Volume_post,Distance,reassigned_label,raw_label_t,raw_label_t+1,y_coor,x_coor,isFusion,Frame,Label
1.71,9.6075,42.97837306946663,1.0,52.0,45.0,105.89473684210526,227.05263157894737,True,8,1
7.335,9.6075,42.97837306946663,1.0,53.0,45.0,129.61963190184048,247.90797546012269,True,8,1
3.7575,3.915,3.1477908535380377,4.0,56.0,48.0,166.78443113772454,168.96407185628743,True,8,1
11.4975,2.5425,3.1477908535380377,3.0,55.0,47.0,185.06849315068493,183.54794520547946,True,8,1
11.7675,21.3525,3.1477908535380377,3.0,58.0,49.0,265.36328871892925,179.96367112810708,True,8,1
13.185,9.4275,3.1477908535380377,5.0,57.0,50.0,236.15529010238907,248.43856655290102,True,8,1
13.185,3.8925,3.1477908535380377,5.0,57.0,51.0,236.15529010238907,248.43856655290102,True,8,1
1.71,9.54,42.97837306946663,1.0,52.0,59.0,105.89473684210526,227.05263157894737,True,9,1
7.335,9.54,42.97837306946663,1.0,53.0,59.0,129.61963190184048,247.90797546012269,True,9,1
3.7575,3.9375,3.1477908535380377,4.0,56.0,62.0,166.78443113772454,168.96407185628743,True,9,1
11.4975,2.4525,3.1477908535380377,3.0,55.0,61.0,185.06849315068493,183.54794520547946,True,9,1
11.4975,12.06,3.1477908535380377,3.0,55.0,65.0,185.06849315068493,183.54794520547946,True,9,1
11.7675,9.0,3.1477908535380377,3.0,58.0,63.0,265.36328871892925,179.96367112810708,True,9,1
13.185,13.68,3.1477908535380377,5.0,57.0,64.0,236.15529010238907,248.43856655290102,True,9,1
1.7325,9.54,19.380594019642018,1.0,66.0,59.0,105.51948051948052,227.11688311688312,True,10,1
7.4025,9.54,19.380594019642018,1.0,67.0,59.0,129.69300911854103,248.01215805471125,True,10,1
2.43,2.4525,3.2410339235977266,3.0,69.0,61.0,170.4351851851852,201.53703703703704,True,10,1
3.7125,3.9375,3.2410339235977266,4.0,70.0,62.0,166.74545454545455,169.26060606060605,True,10,1
5.7825,13.68,3.2410339235977266,5.0,74.0,64.0,256.3424124513619,259.5408560311284,True,10,1
7.0875,13.68,3.2410339235977266,5.0,72.0,64.0,219.6984126984127,238.83492063492062,True,10,1
9.0675,9.0,3.2410339235977266,3.0,71.0,63.0,189.2531017369727,177.9379652605459,True,10,1
11.61,12.06,3.2410339235977266,3.0,73.0,65.0,266.17054263565893,179.94573643410854,True,10,1
3.3975,1.7325,57.82113901730863,1.0,75.0,66.0,112.4635761589404,223.63576158940398,True,11,1
5.715,7.4025,57.82113901730863,1.0,76.0,67.0,132.7244094488189,256.5314960629921,True,11,1
3.8025,3.7125,7.025254087322936,4.0,79.0,70.0,166.75739644970415,169.07692307692307,True,11,1
3.8925,5.7825,7.025254087322936,5.0,82.0,74.0,260.01734104046244,262.88439306358384,True,11,1
9.1125,7.0875,7.025254087322936,5.0,80.0,72.0,225.82716049382717,241.60246913580247,True,11,1
11.5875,2.43,7.025254087322936,3.0,78.0,69.0,185.4135922330097,183.11844660194174,True,11,1
11.5875,11.61,7.025254087322936,3.0,78.0,73.0,185.4135922330097,183.11844660194174,True,11,1
