Frames that have non-zero fusion/fission events (chunk-based):
Frame 1: Fussion_2 = 3, Fussion_1 = 3, Fission = 6
Frame 2: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 3: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 4: Fussion_2 = 0, Fussion_1 = 3, Fission = 4
Frame 5: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 6: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 7: Fussion_2 = 2, Fussion_1 = 0, Fission = 4
Frame 8: Fussion_2 = 2, Fussion_1 = 5, Fission = 6
Frame 9: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 10: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 11: Fussion_2 = 1, Fussion_1 = 1, Fission = 3
Frame 12: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 13: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 14: Fussion_2 = 2, Fussion_1 = 0, Fission = 3
Frame 15: Fussion_2 = 4, Fussion_1 = 8, Fission = 10
Frame 16: Fussion_2 = 2, Fussion_1 = 2, Fission = 3
Frame 17: Fussion_2 = 2, Fussion_1 = 3, Fission = 6
Frame 18: Fussion_2 = 2, Fussion_1 = 4, Fission = 7
Frame 19: Fussion_2 = 1, Fussion_1 = 5, Fission = 6
Frame 20: Fussion_2 = 3, Fussion_1 = 2, Fission = 3
Frame 21: Fussion_2 = 1, Fussion_1 = 3, Fission = 4
Frame 22: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 23: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 24: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 25: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 26: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 27: Fussion_2 = 0, Fussion_1 = 4, Fission = 3
Frame 28: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 29: Fussion_2 = 1, Fussion_1 = 2, Fission = 6
Frame 30: Fussion_2 = 1, Fussion_1 = 6, Fission = 6
Frame 31: Fussion_2 = 0, Fussion_1 = 6, Fission = 6
