Frames that have non-zero fusion/fission events (chunk-based):
Frame 1: Fusion_2 = 0, Fusion_1 = 0, Fission = 4
Frame 2: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 3: Fusion_2 = 0, Fusion_1 = 0, Fission = 2
Frame 4: Fusion_2 = 0, Fusion_1 = 0, Fission = 5
Frame 5: Fusion_2 = 0, Fusion_1 = 0, Fission = 3
Frame 6: Fusion_2 = 0, Fusion_1 = 0, Fission = 2
Frame 8: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 9: Fusion_2 = 0, Fusion_1 = 0, Fission = 3
Frame 12: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 14: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 15: Fusion_2 = 0, Fusion_1 = 0, Fission = 2
Frame 17: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 20: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 21: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 22: Fusion_2 = 0, Fusion_1 = 1, Fission = 2
Frame 26: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 27: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 30: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 33: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 36: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 39: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 41: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 42: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 46: Fusion_2 = 1, Fusion_1 = 0, Fission = 0
Frame 49: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 52: Fusion_2 = 0, Fusion_1 = 1, Fission = 1
Frame 53: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 58: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 59: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 61: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 62: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 63: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 75: Fusion_2 = 0, Fusion_1 = 1, Fission = 1
Frame 79: Fusion_2 = 0, Fusion_1 = 1, Fission = 0
Frame 87: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 89: Fusion_2 = 0, Fusion_1 = 0, Fission = 1
Frame 98: Fusion_2 = 0, Fusion_1 = 0, Fission = 1

Total frames with non-zero events: 37
